File_Name,Internal_Sample_Name,type,r2r_event,Cruise,Depth (m),Amount Filtered (L),Niskin Bottle,Dmix Concentration,Lat,Lon,Cast
QE014561_20230307150927.mzXML,JC214_30,CTD,jc214-SE-20210507.1426.002,JC214,110,1,11,1x,48.9225,-14.945,12
QE014561_20230307155042.mzXML,EXPORTS2_PQC_15,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA
QE014561_20230307163157.mzXML,JC214_29,CTD,jc214-SE-20210507.1426.002,JC214,125,1,9,1x,48.9225,-14.945,12
QE014561_20230307171313.mzXML,JC214_28,CTD,jc214-SE-20210507.1426.002,JC214,150,1,7,1x,48.9225,-14.945,12
QE014561_20230307175430.mzXML,JC214_27,CTD,jc214-SE-20210507.1426.002,JC214,175,1,5,1x,48.9225,-14.945,12
QE014561_20230307183547.mzXML,JC214_35,CTD,jc214-SE-20210507.1426.002,JC214,20,1,21,1x,48.9225,-14.945,12
QE014561_20230307191702.mzXML,JC214_26,CTD,jc214-SE-20210507.1426.002,JC214,330,1,2,1x,48.9225,-14.945,12
QE014561_20230307195818.mzXML,EXPORTS2_PQC_16,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA
QE014561_20230307203933.mzXML,JC214_36,CTD,jc214-SE-20210507.1426.002,JC214,5,1,23,1x,48.9225,-14.945,12
QE014561_20230307212048.mzXML,JC214_34,CTD,jc214-SE-20210507.1426.002,JC214,35,1,19,1x,48.9225,-14.945,12
QE014561_20230307220203.mzXML,SG2105_19,CTD,20210511.1242.001,SG2105,5,1,23,1x,48.9263,-16.2542,7
QE014561_20230307224319.mzXML,SG2105_20,CTD,20210511.1242.001,SG2105,20,1,21,1x,48.9263,-16.2542,7
QE014561_20230307232434.mzXML,SG2105_21,CTD,20210511.1242.001,SG2105,35,1,19,1x,48.9263,-16.2542,7
QE014561_20230308000551.mzXML,EXPORTS2_PQC_17,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA
QE014561_20230308004709.mzXML,JC214_23,CTD,jc214-SE-20210506.1658.001,JC214,20,1,21,1x,48.9155,-14.8012,9
QE014561_20230308012824.mzXML,SG2105_25,CTD,20210511.2017.001,SG2105,5,1,24,1x,49.0052,-15.0265,8
QE014561_20230308020939.mzXML,SG2105_29,CTD,20210511.2017.001,SG2105,750,1,6,1x,49.0052,-15.0265,8
QE014561_20230308025054.mzXML,SG2105_22,CTD,20210511.1242.001,SG2105,55,1,17,1x,48.9263,-16.2542,7
QE014561_20230308033208.mzXML,SG2105_24,CTD,20210511.1242.001,SG2105,75,1,13,1x,48.9263,-16.2542,7
QE014561_20230308041323.mzXML,EXPORTS2_PQC_18,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA
QE014562.mzXML,SG2105_26,CTD,20210511.2017.001,SG2105,35,1,19,1x,49.0052,-15.0265,8
QE014562_20230308053552.mzXML,SG2105_27,CTD,20210511.2017.001,SG2105,75,1,14,1x,49.0052,-15.0265,8
QE014562_20230308061707.mzXML,JC214_48,CTD,jc214-SE-20210511.1543.001,JC214,5,1,23,1x,49.0195,-15.0185,14
QE014562_20230308065822.mzXML,SG2105_FT_10,Flowthrough,NA,SG2105,0,NA,NA,1x,NA,NA,NA
QE014562_20230308073939.mzXML,JC214_47,CTD,jc214-SE-20210511.1543.001,JC214,20,1,21,1x,49.0195,-15.0185,14
