File_Name,Internal_Sample_Name,type,r2r_event,Cruise,Depth (m),Amount Filtered (L),Niskin Bottle,Dmix Concentration,Lat,Lon,Cast
QE014775.mzXML,JC214_131,CTD,jc214-SE-20210521.1524.001,JC214,5,1,23,1x,48.9253,-14.787,43
QE014776.mzXML,JC214_44,CTD,jc214-SE-20210511.1543.001,JC214,75,1,14,1x,49.0195,-15.0185,14
QE014777.mzXML,JC214_72,CTD,jc214-SE-20210514.1404.001,JC214,5,1,23,1x,49.0657,-14.8167,28
QE014778.mzXML,JC214_68,CTD,jc214-SE-20210514.1404.001,JC214,55,1,16,1x,49.0657,-14.8167,28
QE014779.mzXML,EXPORTS2_PQC_56,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA
QE014780.mzXML,JC214_130,CTD,jc214-SE-20210521.1524.001,JC214,20,1,21,1x,48.9253,-14.787,43
QE014781.mzXML,JC214_71,CTD,jc214-SE-20210514.1404.001,JC214,20,1,21,1x,49.0657,-14.8167,28
QE014782.mzXML,JC214_69,CTD,jc214-SE-20210514.1404.001,JC214,45,1,17,1x,49.0657,-14.8167,28
QE014783.mzXML,JC214_37,CTD,jc214-SE-20210511.1543.001,JC214,500,1,1,1x,49.0195,-15.0185,14
QE014784.mzXML,JC214_67,CTD,jc214-SE-20210514.1404.001,JC214,75,1,14,1x,49.0657,-14.8167,28
QE014785.mzXML,EXPORTS2_PQC_57,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA
QE014786.mzXML,JC214_77,CTD,jc214-SE-20210516.1356.001,JC214,125,1,9,1x,48.9712,-14.728,31
QE014787.mzXML,JC214_66,CTD,jc214-SE-20210514.1404.001,JC214,110,1,11,1x,49.0657,-14.8167,28
QE014788.mzXML,JC214_65,CTD,jc214-SE-20210514.1404.001,JC214,125,1,9,1x,49.0657,-14.8167,28
QE014789.mzXML,JC214_63,CTD,jc214-SE-20210514.1404.001,JC214,175,1,5,1x,49.0657,-14.8167,28
QE014790.mzXML,JC214_62,CTD,jc214-SE-20210514.1404.001,JC214,330,1,2,1x,49.0657,-14.8167,28
QE014791.mzXML,EXPORTS2_PQC_58,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA
QE014792.mzXML,JC214_75,CTD,jc214-SE-20210516.1356.001,JC214,175,1,5,1x,48.9712,-14.728,31
QE014793.mzXML,JC214_76,CTD,jc214-SE-20210516.1356.001,JC214,150,1,7,1x,48.9712,-14.728,31
QE014794.mzXML,JC214_78,CTD,jc214-SE-20210516.1356.001,JC214,110,1,11,1x,48.9712,-14.728,31
QE014795.mzXML,JC214_79,CTD,jc214-SE-20210516.1356.001,JC214,75,1,14,1x,48.9712,-14.728,31
QE014796.mzXML,JC214_83,CTD,jc214-SE-20210516.1356.001,JC214,20,1,21,1x,48.9712,-14.728,31
QE014797.mzXML,EXPORTS2_PQC_59,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA
QE014798.mzXML,JC214_74,CTD,jc214-SE-20210516.1356.001,JC214,330,1,2,1x,48.9712,-14.728,31
QE014799.mzXML,EXPORTS Extraction Blank 13,blank,NA,NA,NA,NA,NA,1x,NA,NA,NA
QE014800.mzXML,JC214_82,CTD,jc214-SE-20210516.1356.001,JC214,35,1,19,1x,48.9712,-14.728,31
QE014801.mzXML,JC214_80,CTD,jc214-SE-20210516.1356.001,JC214,55,1,16,1x,48.9712,-14.728,31
QE014802.mzXML,JC214_81,CTD,jc214-SE-20210516.1356.001,JC214,45,1,17,1x,48.9712,-14.728,31
QE014803.mzXML,EXPORTS2_PQC_60,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA
QE014804.mzXML,EXPORTS Extraction Blank 18,blank,NA,NA,NA,NA,NA,1x,NA,NA,NA
QE014805.mzXML,EXPORTS Extraction Blank 12,blank,NA,NA,NA,NA,NA,1x,NA,NA,NA
QE014806.mzXML,EXPORTS Extraction Blank 14,blank,NA,NA,NA,NA,NA,1x,NA,NA,NA
QE014807.mzXML,EXPORTS Extraction Blank 11,blank,NA,NA,NA,NA,NA,1x,NA,NA,NA
QE014808.mzXML,EXPORTS Extraction Blank 8,blank,NA,NA,NA,NA,NA,1x,NA,NA,NA
QE014809.mzXML,EXPORTS Extraction Blank 10,blank,NA,NA,NA,NA,NA,1x,NA,NA,NA
QE014810.mzXML,EXPORTS Extraction Blank 19,blank,NA,NA,NA,NA,NA,1x,NA,NA,NA
QE014811.mzXML,EXPORTS Extraction Blank 7,blank,NA,NA,NA,NA,NA,1x,NA,NA,NA
QE014812.mzXML,EXPORTS Extraction Blank 4,blank,NA,NA,NA,NA,NA,1x,NA,NA,NA
QE014813.mzXML,JC214_64,CTD,jc214-SE-20210514.1404.001,JC214,150,1,7,1x,49.0657,-14.8167,28
QE014814.mzXML,JC214_84,CTD,jc214-SE-20210516.1356.001,JC214,5,1,23,1x,48.9712,-14.728,31
QE014815.mzXML,EXPORTS Extraction Blank 9,blank,NA,NA,NA,NA,NA,1x,NA,NA,NA
QE014816.mzXML,EXPORTS2_PQC_61,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA
QE014817.mzXML,SG2105_17,CTD,20210507.1435.001,SG2105,500,1,6,10x,48.9215,-14.9568,6
